,LIME,EDDT,OMDB,CYYZ,ZBAA,SAEZ,VIDP,MMMX,LFPG,EDDF,EDDM,KJFK,LEMD,RJAA,SBGL,LTFM,ZSPD,CYVR,LDZA,EBBR,LKPR,LGAV,FACT,EETN,EFRO,EFHK,BIKF,EHEH,LPPT,ESSA,LFQQ,EIDW,EGPH
EDDM,337.8149533285702,479.5750967765883,4563.68638327735,6639.638079367699,7721.985707506109,11571.029543749757,5899.979912189503,9844.86446381779,681.5692933331298,299.0736493547062,0.0,6480.773715334404,1496.9693797182808,9366.60393351221,9616.447470619587,1547.9829132915345,8778.291229474024,8340.059905344417,435.372805823521,596.828250612871,264.80111614065527,1517.8783303811158,9179.18835595483,1491.5970050572942,2179.5591456309016,1574.5399279099283,2669.2628149565803,573.3926461914037,1983.6079398270863,1317.3110466843007,673.6101624423094,1381.2860601870107,1330.3366233869128
KJFK,6477.675550240074,6367.419669376641,11000.82939708662,587.4088954268707,10977.61138682235,8534.711892841717,11754.94829850792,3365.6070797424704,5833.386425117882,6189.1542734461045,6480.773715334404,0.0,5762.025471470951,10829.468019943439,7729.093708099038,8027.011333646928,11872.965768605623,3929.667087827683,6905.329783235579,5885.3697807968165,6550.828678253268,7932.455806289573,12560.803274067739,6649.356410602336,6318.434484589655,6606.914800539541,4197.785190963327,5920.872953839785,5404.309620041176,6291.593874633475,5807.873795019511,5102.730002183939,5224.818687727301
LEMD,1220.367427968824,1853.640992836451,5648.573067280119,6058.631933989723,9206.378510653298,10084.891062660701,7255.328214906565,9066.890918984103,1064.514287652328,1422.050572145159,1496.9693797182808,5762.025471470951,0.0,10771.365389773611,8146.258928316377,2702.2488319417575,10270.038168674499,8426.398460222947,1692.5382745319923,1315.552739483112,1750.6615229202562,2377.4313326404604,8584.107113717999,2883.3149200833927,3422.0000222935455,2947.4320721225527,2888.0069315874402,1400.4404453661639,512.8845584370001,2601.3493707511634,1235.5813496072453,1454.225118962622,1721.1421621023853
RJAA,9698.334104120337,8941.163890156917,7978.6421393820765,10299.375959386833,2133.3180240322217,18297.19994521465,5909.250123279566,11253.545374395047,9709.31227814645,9366.014476753255,9366.60393351221,10829.468019943439,10771.365389773611,0.0,18531.195791108297,8980.31098908937,1795.1653470701212,7503.3643827802725,9373.225157229546,9457.890709909856,9102.009097801203,9532.669034889863,14780.473523154042,7898.436176812024,7370.85294938375,7828.74735963798,8798.321608971684,9372.118080501896,11153.913596141403,8170.395509786672,9543.069153437295,9590.00408587783,9254.53199963534
SBGL,9300.145436141222,9999.899573136834,11884.360300095565,8271.186132408277,17318.624718116444,1995.428353470573,14063.511167522962,7665.076602134776,9184.123131785209,9568.283601551813,9616.447470619587,7729.093708099038,8146.258928316377,18531.195791108297,0.0,10271.767959942494,18271.284864397905,11212.325649046332,9684.845164511811,9432.38980302497,9879.080082772547,9730.98460712888,6087.871598998781,11021.75343361116,11451.376242794004,11078.85214073269,9842.304164811861,9519.607478719365,7714.979604082941,10709.342326685113,9339.141101101264,9192.749867185408,9529.814395113926
LTFM,1608.6007846928012,1712.5684114372132,3027.9011773987722,8171.274964889148,7061.75886204329,12266.824206187948,4566.047060442222,11389.29648462006,2213.88650722904,1837.858012568955,1547.9829132915345,8027.011333646928,2702.2488319417575,8980.31098908937,10271.767959942494,0.0,8021.792958328303,9588.351242168645,1135.558870168953,2141.818322400416,1489.3589955451396,552.3631359390542,8429.362191332484,2037.0282863908224,2818.8505107888336,2134.8799157182702,4087.246738830808,2107.001771303601,3211.7174335800105,2177.481833179683,2221.5840343980844,2924.4683551417634,2830.767342771072
ZSPD,9081.345720298381,8428.152127029933,6448.573340149029,11414.11558758609,1098.8391881220052,19605.48726466171,4292.294164011961,12896.888950685934,9266.538821703734,8857.834873324387,8778.291229474024,11872.965768605623,10270.038168674499,1795.1653470701212,18271.284864397905,8021.792958328303,0.0,9016.027042522252,8670.244773563427,9024.973770238224,8520.514010353765,8557.446927892031,12989.53522682959,7439.701976930367,7111.796723483437,7393.997300475772,8956.580903846041,8938.065932826861,10730.78496714352,7780.26414951412,9123.256093925884,9364.445984146492,9032.685343726816
CYVR,8524.300246721084,7979.429067098594,11735.171711494506,3346.065262820104,8491.592942617246,11306.011894863244,11138.384837166739,3944.571933641011,7924.983796384183,8062.180754267541,8340.059905344417,3929.667087827683,8426.398460222947,7503.3643827802725,11212.325649046332,9588.351242168645,9016.027042522252,0.0,8746.620493868128,7827.183480204533,8252.779547259795,9800.56504320369,16465.20953208748,7595.2331088364135,6878.634761429539,7505.149627195536,5701.731716788582,7809.899033180775,8288.503867714651,7411.6744673739295,7804.029472119836,7164.329817709851,7067.373027293543
LDZA,494.3715279576347,784.5721209488278,4162.586440529364,7071.777341214486,7637.516242212898,11662.142744355435,5589.209484397878,10270.57949825156,1079.12295434704,734.44155732098,435.372805823521,6905.329783235579,1692.5382745319923,9373.225157229546,9684.845164511811,1135.558870168953,8670.244773563427,8746.620493868128,0.0,1028.9384999379752,503.18469523171706,1084.793589115557,8867.258411800965,1628.0765988832688,2385.7771646126907,1722.928893753889,3094.6660800724226,1008.7302268245519,2202.428641890457,1551.7236859844388,1099.1833149167103,1812.1546193462373,1764.554368661314
EBBR,697.6241308496129,633.1798423077714,5147.156165772344,6043.2341631455665,7945.907748157385,11343.810900959297,6399.817544030502,9248.791253224706,251.42649654422516,304.70667836915743,596.828250612871,5885.3697807968165,1315.552739483112,9457.890709909856,9432.38980302497,2141.818322400416,9024.973770238224,7827.183480204533,1028.9384999379752,0.0,696.6701556393344,2101.487122926399,9538.261583682088,1590.7996147657782,2109.419990192777,1646.5424706420476,2128.9170434945413,87.26507901126318,1717.441913766903,1287.8123921554281,104.17464565809286,784.4652218415466,764.8529460052239
LKPR,598.695349516173,281.576913555292,4463.278821580964,6682.817209516884,7461.550939385754,11830.92337423204,5714.970423703678,9907.578033808217,852.6058359792816,406.27801971921986,264.80111614065527,6550.828678253268,1750.6615229202562,9102.009097801203,9879.080082772547,1489.3589955451396,8520.514010353765,8252.779547259795,503.18469523171706,696.6701556393344,0.0,1555.754332455913,9358.288777530079,1234.036333291913,1942.94896284112,1319.6263258874899,2628.101221542469,642.0340692834425,2228.9079544309607,1086.9490092945773,793.0800262284977,1454.9163652752302,1341.4084262122346
LGAV,1457.2765076695869,1823.2230335509435,3271.3092464029237,8127.399159836934,7607.430542904929,11725.05562218717,4983.851376266188,11295.07456624003,2108.8935232724316,1815.8370182307754,1517.8783303811158,7932.455806289573,2377.4313326404604,9532.669034889863,9730.98460712888,552.3631359390542,8557.446927892031,9800.56504320369,1084.793589115557,2101.487122926399,1555.754332455913,0.0,8014.8303514408435,2389.0689513250063,3184.843224387242,2489.6794411140104,4176.891888856657,2089.016063229445,2870.399397724636,2452.3533525122343,2161.2853740484825,2875.9209801847924,2848.2113604641363
FACT,8900.787773541293,9635.66209352229,7644.498781549268,13136.631844292497,12967.734897763023,6886.082041979985,9282.845350520629,13711.343976959879,9363.399547331674,9393.055953949077,9179.18835595483,12560.803274067739,8584.107113717999,14780.473523154042,6087.871598998781,8429.362191332484,12989.53522682959,16465.20953208748,8867.258411800965,9538.261583682088,9358.288777530079,8014.8303514408435,0.0,10399.864784061421,11195.351682199891,10500.580656352362,11472.045420118653,9586.034315842975,8579.965571388671,10410.637422820557,9522.742717702058,10009.776088175524,10213.775685686389
EETN,1829.3731684707757,1043.7146044590377,4471.733222742804,6650.662663103135,6357.094712899396,12932.640473630083,5200.6264450305825,9887.012309094367,1837.8392888325443,1467.8755620952131,1491.5970050572942,6649.356410602336,2883.3149200833927,7898.436176812024,11021.75343361116,2037.0282863908224,7439.701976930367,7595.2331088364135,1628.0765988832688,1590.7996147657782,1234.036333291913,2389.0689513250063,10399.864784061421,0.0,795.9448462888196,100.72063567001045,2454.7484880957145,1503.538739642221,3307.6755735702613,389.62412735087645,1686.475455041425,2002.9192181397093,1705.517234342453
EFRO,2510.9812975034515,1701.8548750228817,5027.306459147683,6243.416783834656,6013.908578937793,13282.900559270385,5439.118104243794,9429.19591909452,2358.800861619531,2079.668281738598,2179.5591456309016,6318.434484589655,3422.0000222935455,7370.85294938375,11451.376242794004,2818.8505107888336,7111.796723483437,6878.634761429539,2385.7771646126907,2109.419990192777,1942.94896284112,3184.843224387242,11195.351682199891,795.9448462888196,0.0,695.2573510545288,2177.0499490729367,2026.9394149057935,3783.3341214037023,863.3297003586031,2186.4196889276245,2262.6890021087634,1927.0385770142573
EFHK,1912.2938553387621,1118.8430222369009,4537.025110362885,6598.71606358994,6308.537771925007,12981.387744901565,5223.847444426262,9830.89999106367,1895.5582344575273,1537.9389925099097,1574.5399279099283,6606.914800539541,2947.4320721225527,7828.74735963798,11078.85214073269,2134.8799157182702,7393.997300475772,7505.149627195536,1722.928893753889,1646.5424706420476,1319.6263258874899,2489.6794411140104,10500.580656352362,100.72063567001045,695.2573510545288,0.0,2409.583253800543,1559.3618854820566,3363.876975912895,398.5689357775947,1739.9740827336304,2023.288540062737,1717.6968421996937
BIKF,2826.491908642492,2379.1423258300797,6885.950773003389,4202.689344520942,7870.884193010363,11460.844970957083,7593.777972803409,7447.576134836068,2225.1176543641695,2379.55963806095,2669.2628149565803,4197.785190963327,2888.0069315874402,8798.321608971684,9842.304164811861,4087.246738830808,8956.580903846041,5701.731716788582,3094.6660800724226,2128.9170434945413,2628.101221542469,4176.891888856657,11472.045420118653,2454.7484880957145,2177.0499490729367,2409.583253800543,0.0,2117.6234281227908,2942.307926147029,2109.0743457943413,2102.4846976713584,1486.395041095137,1366.1622281126076
EHEH,716.9528370522909,554.9586303035887,5102.345397401615,6069.742465228985,7858.784279958065,11430.931607617464,6331.400341379829,9282.302300217629,337.5067385741307,274.34672759363383,573.3926461914037,5920.872953839785,1400.4404453661639,9372.118080501896,9519.607478719365,2107.001771303601,8938.065932826861,7809.899033180775,1008.7302268245519,87.26507901126318,642.0340692834425,2089.016063229445,9586.034315842975,1503.538739642221,2026.9394149057935,1559.3618854820566,2117.6234281227908,0.0,1804.6765643174188,1201.790094986564,187.09147772320674,818.4419646564614,761.9890447440483
LPPT,1724.0154738241492,2302.6857424820937,6137.549256169119,5739.078245285105,9657.682879314776,9632.30052917482,7767.803301105655,8664.536583495246,1469.9632862919395,1873.84706028188,1983.6079398270863,5404.309620041176,512.8845584370001,11153.913596141403,7714.979604082941,3211.7174335800105,10730.78496714352,8288.503867714651,2202.428641890457,1717.441913766903,2228.9079544309607,2870.399397724636,8579.965571388671,3307.6755735702613,3783.3341214037023,3363.876975912895,2942.307926147029,1804.6765643174188,0.0,2998.3052371348076,1624.5352370256298,1642.4746695558613,1956.1303624433278
ESSA,1647.7243899240607,838.7723740907484,4784.718435844448,6311.706893929508,6691.864080722933,12598.548940741373,5583.875141564338,9555.32776316363,1539.1555178390888,1222.987175365273,1317.3110466843007,6291.593874633475,2601.3493707511634,8170.395509786672,10709.342326685113,2177.481833179683,7780.26414951412,7411.6744673739295,1551.7236859844388,1287.8123921554281,1086.9490092945773,2452.3533525122343,10410.637422820557,389.62412735087645,863.3297003586031,398.5689357775947,2109.0743457943413,1201.790094986564,2998.3052371348076,0.0,1375.4704625714714,1624.7526881721867,1320.2510546542144
LFQQ,731.8948304163779,737.3544487142678,5233.556863398388,5973.892370679363,8042.99692176469,11246.712767060582,6501.080434257892,9172.519686277623,177.29972762352907,392.7983156454291,673.6101624423094,5807.873795019511,1235.5813496072453,9543.069153437295,9339.141101101264,2221.5840343980844,9123.256093925884,7804.029472119836,1099.1833149167103,104.17464565809286,793.0800262284977,2161.2853740484825,9522.742717702058,1686.475455041425,2186.4196889276245,1739.9740827336304,2102.4846976713584,187.09147772320674,1624.5352370256298,1375.4704625714714,0.0,715.1697675357511,736.7464462666057
EIDW,1433.663567238871,1308.440821698761,5918.191105076748,5259.66456365284,8268.747197889683,11025.405820274522,7074.36258815461,8465.097546487645,784.9693369031335,1086.8940196113897,1381.2860601870107,5102.730002183939,1454.225118962622,9590.00408587783,9192.749867185408,2924.4683551417634,9364.445984146492,7164.329817709851,1812.1546193462373,784.4652218415466,1454.9163652752302,2875.9209801847924,10009.776088175524,2002.9192181397093,2262.6890021087634,2023.288540062737,1486.395041095137,818.4419646564614,1642.4746695558613,1624.7526881721867,715.1697675357511,0.0,337.2039534199319
EGPH,1461.4919162938756,1142.604257606154,5776.784700011543,5342.430556810266,7936.25672217657,11358.623493704585,6836.246415386642,8573.011598267407,868.6768639079258,1032.8584656977316,1330.3366233869128,5224.818687727301,1721.1421621023853,9254.53199963534,9529.814395113926,2830.767342771072,9032.685343726816,7067.373027293543,1764.554368661314,764.8529460052239,1341.4084262122346,2848.2113604641363,10213.775685686389,1705.517234342453,1927.0385770142573,1717.6968421996937,1366.1622281126076,761.9890447440483,1956.1303624433278,1320.2510546542144,736.7464462666057,337.2039534199319,0.0
